Symbol,Date,Close
MRK,2019-04-04,81.85
MRK,2019-04-05,81.15
MRK,2019-04-08,80.95
MRK,2019-04-09,80.8
MRK,2019-04-10,80.82
MRK,2019-04-11,79.84
MRK,2019-04-12,79.43
MRK,2019-04-15,78.53
MRK,2019-04-16,77.56
MRK,2019-04-17,73.92
MRK,2019-04-18,73.19
MRK,2019-04-22,73.46
MRK,2019-04-23,74.6
MRK,2019-04-24,74.73
MRK,2019-04-25,76.34
MRK,2019-04-26,76.63
MRK,2019-04-29,76.78
MRK,2019-04-30,78.71
